q,base_r100,base_r1e8,n40_r1e8
0.86,0.170479203154,0.0882991732323,0.0985916939015
0.87,0.168858084911,0.0843376986171,0.0947292561517
0.88,0.167241678063,0.0803896337878,0.0908798929431
0.89,0.165630372871,0.0764641218707,0.0870525188239
0.90,0.164024560206,0.0725707832351,0.0832565136542
0.91,0.162424631232,0.0687196222921,0.0795016317348
0.92,0.16083097708,0.0649209152223,0.0757978923417
0.93,0.159243988527,0.0611850800967,0.0721554530942
0.94,0.157664055679,0.0575225318609,0.0685844685643
0.95,0.156091567658,0.0539435256648,0.0650949375232
0.96,0.154526912281,0.050457992945,0.0616965431214
0.97,0.152970475757,0.0470753754345,0.0583984910487
0.98,0.151422642385,0.0438044627994,0.0552093512294
0.99,0.14988379425,0.0406532398211,0.0521369088256
1.00,0.148354310941,0.0376287489151,0.0491880301923
1.01,0.146834569258,0.034736973282,0.04636854895
1.02,0.145324942948,0.0319827451516,0.0436831765228
1.03,0.143825802432,0.0293696824532,0.0411354403919
1.04,0.142337514552,0.0269001559057,0.0387276520081
1.05,0.140860442329,0.0245752870723,0.0364609048955
1.06,0.139394944727,0.0223949764799,0.0343351020679
1.07,0.137941376433,0.0203579595616,0.0323490105726
1.08,0.136500087652,0.0184618870433,0.0305003398672
1.09,0.135071423908,0.0167034255266,0.0287858398884
1.10,0.133655725868,0.0150783734612,0.0272014141247
1.11,0.132253329174,0.0135817874624,0.0257422427759
1.12,0.130864564293,0.0122081139912,0.0244029111415
1.13,0.129489756385,0.0109513217402,0.0231775386967
1.14,0.128129225182,0.00980503059811,0.0220599048332
1.15,0.126783284885,0.00876263373568,0.0210435678923
1.16,0.125452244083,0.00781741010329,0.0201219748507
1.17,0.12413640568,0.00696262539463,0.0192885597598
1.18,0.12283606685,0.00619162026423,0.0185368297576
1.19,0.121551519002,0.00549788524912,0.0178604381179
1.20,0.120283047761,0.00487512241464,0.0172532443543
1.21,0.119030932978,0.00431729420598,0.0167093618508
1.22,0.117795448748,0.00381866033864,0.0162231938302
1.23,0.116576863448,0.00337380380691,0.0157894587117
1.24,0.115375439794,0.00297764724042,0.0154032060594
1.25,0.11419143492,0.0026254609083,0.0150598243856
1.26,0.113025100467,0.00231286367376,0.0147550420819
1.27,0.111876682694,0.00203581815494,0.0144849227011
1.28,0.110746422608,0.00179062126335,0.0142458557318
1.29,0.109634556109,0.00157389118394,0.0140345439043
1.30,0.108541314152,0.00138255173931,0.0138479879458
1.31,0.107466922923,0.00121381495456,0.0136834695807
1.32,0.106411604038,0.00106516251493,0.0135385334521
1.33,0.105375574754,0.000934326689754,0.0134109685225
1.34,0.104359048189,0.000819271187768,0.0132987894081
1.35,0.10336223357,0.000718172310475,0.0132002180027
1.36,0.102385336481,0.000629400684601,0.0131136656675
1.37,0.101428559137,0.00055150378068,0.0130377161862
1.38,0.100492100659,0.000483189362355,0.0129711096283
1.39,0.0995761573739,0.00042330995933,0.0129127272103
1.40,0.0986809231105,0.000370848414892,0.0128615772045
1.41,0.09780658952,0.000324904525521,0.0128167819124
1.42,0.0969533463978,0.000284682764122,0.012777565695
1.43,0.0961213820164,0.000249481058754,0.0127432440323
1.44,0.0953108834653,0.000218680584447,0.0127132135698
1.45,0.094522036998,0.00019173651568,0.0126869431028
1.46,0.0937550283838,0.00016816968075,0.0126639654387
1.47,0.0930100432638,0.000147559055635,0.0126438700792
1.48,0.0922872675103,0.000129535033624,0.0126262966578
