exponent,seed,time,outlet_flow,retained_at_pits,terminal_balance,top3_outlet_fraction,transverse_relief,mean_erosion,erosion_coefficient
0.0,2,600,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006317225025473489,0.5701759965181099,0.03
0.0,3,0,1.0000000000000009,0.0,1.0000000000000009,0.0802304964539007,0.0029304179806554586,0.0,0.03
0.0,3,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0011481833549308257,0.11379448914513797,0.03
0.0,3,200,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.000930815291806769,0.22009490152405464,0.03
0.0,3,300,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0008088626680198977,0.31888165770476434,0.03
0.0,3,400,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.00071079028877687,0.4101682093993614,0.03
0.0,3,500,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006349368955385792,0.4939615965823023,0.03
0.0,3,600,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0005827336493980904,0.5702584571725442,0.03
0.0,4,0,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0029498468083390384,0.0,0.03
0.0,4,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0011695381559251987,0.11378882512654782,0.03
0.0,4,200,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0009276759931935982,0.2200615063662399,0.03
0.0,4,300,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0007929899784681066,0.3188330325225456,0.03
0.0,4,400,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0007065882642087348,0.4101175644586519,0.03
0.0,4,500,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0006441368215406476,0.4939139378346413,0.03
0.0,4,600,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0005920614937556769,0.5702138507193022,0.03
0.5,0,0,1.0000000000000007,0.0,1.0000000000000007,0.06737588652482271,0.0029897958886755303,0.0,0.04438007872530089
0.5,0,100,1.0000000000000007,0.0,1.0000000000000007,0.10328014184397162,0.014559860046900457,0.11264964902176583,0.04438007872530089
0.5,0,200,1.0000000000000004,0.0,1.0000000000000004,0.1418439716312056,0.027654472455277933,0.2179423000349717,0.04438007872530089
0.5,0,300,1.0000000000000004,0.0,1.0000000000000004,0.18484042553191468,0.048462388308817425,0.31630191364941723,0.04438007872530089
0.5,0,400,1.0000000000000004,0.0,1.0000000000000004,0.22384751773049633,0.07625451411056597,0.4095774556442799,0.04438007872530089
0.5,0,500,1.0000000000000007,0.0,1.0000000000000007,0.2362588652482269,0.10573746025216861,0.49764766306271024,0.04438007872530089
0.5,0,600,1.0000000000000007,0.0,1.0000000000000007,0.2562056737588652,0.12920160718447796,0.5793056575978979,0.04438007872530089
0.5,1,0,1.0000000000000004,0.0,1.0000000000000004,0.10904255319148938,0.0030077520865252707,0.0,0.04476041508118975
0.5,1,100,1.0000000000000002,0.0,1.0000000000000002,0.2863475177304963,0.02781396137531629,0.111679677903537,0.04476041508118975
0.5,1,200,1.0,0.0,1.0,0.41179078014184395,0.06108703234373207,0.2181527372993523,0.04476041508118975
0.5,1,300,1.0000000000000004,0.0,1.0000000000000004,0.5372340425531915,0.09920860489440042,0.32509542170003447,0.04476041508118975
0.5,1,400,1.0000000000000002,0.0,1.0000000000000002,0.5780141843971632,0.13129291122937586,0.43178106545709355,0.04476041508118975
0.5,1,500,1.0000000000000002,0.0,1.0000000000000002,0.5953014184397164,0.1431846127053983,0.5337997212632517,0.04476041508118975
0.5,1,600,1.0,0.0,1.0,0.6032801418439717,0.13692140525695498,0.6252815467411215,0.04476041508118975
0.5,2,0,1.0000000000000007,0.0,1.0000000000000007,0.08466312056737588,0.002981056681109082,0.0,0.04452757737265452
0.5,2,100,1.0000000000000004,0.0,1.0000000000000004,0.18351063829787226,0.021354810869443925,0.11204558999260852,0.04452757737265452
0.5,2,200,1.0000000000000004,0.0,1.0000000000000004,0.22960992907801397,0.042388390056549693,0.21791761031367402,0.04452757737265452
0.5,2,300,1.0000000000000004,0.0,1.0000000000000004,0.29521276595744683,0.07150258575775006,0.3186323094672997,0.04452757737265452
0.5,2,400,1.0000000000000002,0.0,1.0000000000000002,0.36081560283687947,0.10651488026352088,0.4170547008199651,0.04452757737265452
0.5,2,500,1.0,0.0,1.0,0.4002659574468085,0.13438807275928785,0.5132242240789162,0.04452757737265452
0.5,2,600,0.9999999999999999,0.0,0.9999999999999999,0.4277482269503545,0.14966610185337206,0.6029792970813787,0.04452757737265452
0.5,3,0,1.0000000000000009,0.0,1.0000000000000009,0.0802304964539007,0.0029304179806554586,0.0,0.04446821364578696
0.5,3,100,1.0000000000000004,0.0,1.0000000000000004,0.20877659574468074,0.0220817917739182,0.1115631585454655,0.04446821364578696
0.5,3,200,1.0000000000000004,0.0,1.0000000000000004,0.29609929078014185,0.04662017417715891,0.2177613342458535,0.04446821364578696
0.5,3,300,1.0000000000000002,0.0,1.0000000000000002,0.4042553191489361,0.07605603309457398,0.32026997885295877,0.04446821364578696
0.5,3,400,0.9999999999999998,0.0,0.9999999999999998,0.46764184397163105,0.1037566921672388,0.4213001657603279,0.04446821364578696
0.5,3,500,0.9999999999999998,0.0,0.9999999999999998,0.50354609929078,0.12281176385696779,0.5175707014784954,0.04446821364578696
0.5,3,600,0.9999999999999998,0.0,0.9999999999999998,0.5226063829787232,0.13657966547545144,0.6052767127541324,0.04446821364578696
0.5,4,0,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0029498468083390384,0.0,0.04433430000543882
0.5,4,100,1.0000000000000007,0.0,1.0000000000000007,0.06250000000000001,0.0011728407558105711,0.11328519794558793,0.04433430000543882
