mode,distance,seed,correlation,sign_fidelity,response_effect,shuffled_effect
slow_dial,40,5,0.8170283248053274,0.9218,0.5760083809807374,-0.005697218013233085
slow_dial,40,6,0.8149827069258021,0.9213,0.5752174269782462,0.0023080038773752865
slow_dial,40,7,0.8222763858269371,0.9248,0.5815897822808076,0.007405947803030832
slow_dial,40,8,0.8233334241386117,0.9277,0.5825997494593832,0.0009733743211099988
slow_dial,40,9,0.8198606984725466,0.9246,0.5779649978957642,0.002566165377629881
slow_dial,100,0,0.6012438613690941,0.77,0.39287702291648197,0.0033423268321306487
slow_dial,100,1,0.6098318871780444,0.7769,0.39951773637380017,-0.00834186409067772
slow_dial,100,2,0.6026781687429026,0.7766,0.39425559504674224,0.004361917804217352
slow_dial,100,3,0.6115003010344444,0.7742,0.39960055725576993,0.0048976565591942745
slow_dial,100,4,0.6072920142143264,0.7803,0.3994743606372897,-0.003237428345677862
slow_dial,100,5,0.6043484579206098,0.7741,0.3962777558310737,-0.007077420224348097
slow_dial,100,6,0.601651709914143,0.774,0.3957797332991745,0.004617471883123336
slow_dial,100,7,0.6142326489190676,0.7837,0.4051598595651861,0.00823815361659852
slow_dial,100,8,0.6159737639806965,0.786,0.4050073039921456,0.004509231816213433
slow_dial,100,9,0.609119289783976,0.7766,0.3981501433480825,0.004017189794512932
fast_dial,0,0,0.9999999999999998,1.0,0.7615941559557649,0.0014958247719889517
fast_dial,0,1,1.0,1.0,0.7615941559557649,-0.006702305159136723
fast_dial,0,2,1.0,1.0,0.761594155955765,0.00268026693643042
fast_dial,0,3,1.0,1.0,0.7615941559557651,0.002432728529236372
fast_dial,0,4,1.0,1.0,0.7615941559557652,0.014237135996689632
fast_dial,0,5,0.9999999999999998,1.0,0.7615941559557651,-0.002139337238114658
fast_dial,0,6,1.0,1.0,0.7615941559557651,-0.002447003272482151
fast_dial,0,7,0.9999999999999999,1.0,0.7615941559557652,0.006231936369450075
fast_dial,0,8,1.0,1.0,0.7615941559557649,-0.0046656845701300576
fast_dial,0,9,1.0,1.0,0.7615941559557649,-0.001572030947873282
fast_dial,10,0,0.35192321721179387,0.6456,0.0477043155967547,0.00027351892979532444
fast_dial,10,1,0.3641131831067293,0.6494,0.04932760148374882,-0.0016498175758361544
fast_dial,10,2,0.35439724826489327,0.6506,0.048091265874911526,0.0005115328566971389
fast_dial,10,3,0.3666006240916452,0.6511,0.049685804074423134,0.0016501105127102456
fast_dial,10,4,0.3615745452885906,0.6504,0.04919841802546632,-0.001272529117258392
fast_dial,10,5,0.3588184942308943,0.6485,0.049056983182052205,-0.0011295143721200551
fast_dial,10,6,0.35693591973563316,0.6489,0.04914048757099565,0.0017026613806695456
fast_dial,10,7,0.3711071403489396,0.6612,0.05041587066334574,0.0017849974677079938
fast_dial,10,8,0.37294559665797955,0.6543,0.05051019331367934,0.0013955601941468831
fast_dial,10,9,0.364015707597932,0.653,0.049457187108677525,0.0013531921603715524
fast_dial,40,0,-0.009810682057848694,0.4928,-0.001239947914337014,0.00017319713527275127
fast_dial,40,1,0.003047931253871575,0.499,0.0003806009155725709,-0.0012227968935377698
fast_dial,40,2,-0.006580379890776321,0.4912,-0.0008507361207983344,0.0003331531555637035
fast_dial,40,3,0.005848862019607269,0.5031,0.0007399372505808577,0.0015131684712872406
fast_dial,40,4,0.0019049525573729678,0.5048,0.0002589708518712097,-0.0021780291600602686
