mode,control,seed,generation,positive_fraction,mean_response,parent_child_corr,total_flow,work_in,work_spent,duration
gated,faithful,3,28,0.91796875,1.3183225573721362,0.4721417715050471,0.9999999999999998,256.0,256.0,256.0
gated,faithful,3,29,0.90234375,1.3064226486853272,0.674111437010378,1.0,256.0,256.0,256.0
gated,faithful,3,30,0.8984375,1.303447671513625,0.5677406911345868,1.0,256.0,256.0,256.0
gated,faithful,3,31,0.9140625,1.315347580200434,0.8423882155493018,1.0000000000000002,256.0,256.0,256.0
gated,faithful,3,32,0.921875,1.3212975345438382,0.6557129815475979,0.9999999999999997,256.0,256.0,256.0
gated,faithful,3,33,0.90625,1.3093976258570295,0.5934869169979851,1.0,256.0,256.0,256.0
gated,faithful,3,34,0.9296875,1.3272474888872425,0.6530875113574285,0.9999999999999998,256.0,256.0,256.0
gated,faithful,3,35,0.8984375,1.303447671513625,0.6302176245687767,1.0,256.0,256.0,256.0
gated,faithful,3,36,0.9296875,1.3272474888872428,0.701870022819289,1.0000000000000002,256.0,256.0,256.0
gated,faithful,3,37,0.92578125,1.3242725117155403,0.7120816903707273,1.0,256.0,256.0,256.0
gated,faithful,3,38,0.93359375,1.3302224660589448,0.6734318350305675,0.9999999999999998,256.0,256.0,256.0
gated,faithful,3,39,0.9296875,1.3272474888872428,0.6941047302231981,1.0000000000000004,256.0,256.0,256.0
gated,faithful,3,40,0.90625,1.3093976258570295,0.6260974285812075,1.0,256.0,256.0,256.0
gated,faithful,4,1,0.6953125,1.1487488585851104,0.8979356675738245,1.0,256.0,256.0,256.0
gated,faithful,4,2,0.78515625,1.217173333534261,0.8698484186472456,1.0000000000000002,256.0,256.0,256.0
gated,faithful,4,3,0.80859375,1.2350231965644745,0.705750628577191,0.9999999999999996,256.0,256.0,256.0
gated,faithful,4,4,0.84375,1.2617979911097943,0.7628976385595974,0.9999999999999997,256.0,256.0,256.0
gated,faithful,4,5,0.92578125,1.3242725117155405,0.6741711297025709,0.9999999999999996,256.0,256.0,256.0
gated,faithful,4,6,0.92578125,1.3242725117155405,0.40941500067997055,0.9999999999999998,256.0,256.0,256.0
gated,faithful,4,7,0.9296875,1.3272474888872425,0.4581228472908512,0.9999999999999998,256.0,256.0,256.0
gated,faithful,4,8,0.87890625,1.2885727856551141,0.623130417588305,1.0,256.0,256.0,256.0
gated,faithful,4,9,0.921875,1.3212975345438382,0.7282315728735514,0.9999999999999999,256.0,256.0,256.0
gated,faithful,4,10,0.890625,1.2974977171702207,0.4767494073127935,1.0,256.0,256.0,256.0
gated,faithful,4,11,0.9140625,1.315347580200434,0.6223214605579767,1.0000000000000002,256.0,256.0,256.0
gated,faithful,4,12,0.87109375,1.2826228313117096,0.6252472588790674,0.9999999999999997,256.0,256.0,256.0
gated,faithful,4,13,0.9140625,1.315347580200434,0.694957439798883,1.0,256.0,256.0,256.0
gated,faithful,4,14,0.9296875,1.3272474888872428,0.4581228472908512,0.9999999999999997,256.0,256.0,256.0
gated,faithful,4,15,0.92578125,1.3242725117155405,0.40941500067997055,1.0,256.0,256.0,256.0
gated,faithful,4,16,0.91015625,1.3123726030287317,0.5712146272116205,0.9999999999999998,256.0,256.0,256.0
gated,faithful,4,17,0.90625,1.3093976258570295,0.5934869169979851,1.0,256.0,256.0,256.0
gated,faithful,4,18,0.94140625,1.3361724204023493,0.7199163631231569,0.9999999999999998,256.0,256.0,256.0
gated,faithful,4,19,0.921875,1.3212975345438382,0.5321653878260029,1.0,256.0,256.0,256.0
gated,faithful,4,20,0.890625,1.2974977171702207,0.7119106928665031,1.0,256.0,256.0,256.0
gated,faithful,4,21,0.90625,1.3093976258570295,0.7756672940361379,1.0000000000000002,256.0,256.0,256.0
gated,faithful,4,22,0.90234375,1.3064226486853272,0.5087927837192993,0.9999999999999998,256.0,256.0,256.0
gated,faithful,4,23,0.9375,1.333197443230647,0.7392960871352163,1.0,256.0,256.0,256.0
gated,faithful,4,24,0.89453125,1.300472694341923,0.7004742807105377,1.0000000000000004,256.0,256.0,256.0
gated,faithful,4,25,0.9140625,1.315347580200434,0.5856132466484956,1.0,256.0,256.0,256.0
gated,faithful,4,26,0.9296875,1.3272474888872425,0.6096794718998224,0.9999999999999997,256.0,256.0,256.0
gated,faithful,4,27,0.9296875,1.3272474888872428,0.4774673402361032,1.0,256.0,256.0,256.0
gated,faithful,4,28,0.9296875,1.3272474888872425,0.46233551007009066,1.0,256.0,256.0,256.0
gated,faithful,4,29,0.95703125,1.348072329089158,0.6660929560879214,1.0,256.0,256.0,256.0
gated,faithful,4,30,0.9375,1.333197443230647,0.6000000000000001,1.0000000000000002,256.0,256.0,256.0
gated,faithful,4,31,0.9453125,1.3391473975740515,0.6970966755769257,1.0000000000000004,256.0,256.0,256.0
gated,faithful,4,32,0.921875,1.321297534543838,0.379646245239003,1.0,256.0,256.0,256.0
gated,faithful,4,33,0.9296875,1.3272474888872428,0.7704873741021286,1.0,256.0,256.0,256.0
gated,faithful,4,34,0.921875,1.3212975345438385,0.6174576598376275,1.0,256.0,256.0,256.0
gated,faithful,4,35,0.9296875,1.3272474888872428,0.4028100358063832,1.0,256.0,256.0,256.0
gated,faithful,4,36,0.91796875,1.3183225573721362,0.5608847476388255,1.0,256.0,256.0,256.0
gated,faithful,4,37,0.94140625,1.3361724204023493,0.7673119858379642,1.0,256.0,256.0,256.0
gated,faithful,4,38,0.9609375,1.3510473062608601,0.6248809410409238,1.0,256.0,256.0,256.0
gated,faithful,4,39,0.9453125,1.3391473975740515,0.5238095238095237,1.0,256.0,256.0,256.0
gated,faithful,4,40,0.921875,1.3212975345438382,0.6169644732805306,1.0,256.0,256.0,256.0
gated,faithful,5,1,0.6875,1.142798904241706,0.890309381562379,1.0,256.0,256.0,256.0
gated,faithful,5,2,0.75,1.190398538988941,0.8728715609439696,1.0,256.0,256.0,256.0
gated,faithful,5,3,0.8203125,1.243948128079581,0.8502930256047567,1.0000000000000002,256.0,256.0,256.0
gated,faithful,5,4,0.84375,1.2617979911097943,0.762693558705242,1.0,256.0,256.0,256.0
gated,faithful,5,5,0.8984375,1.303447671513625,0.7145252027247703,0.9999999999999996,256.0,256.0,256.0
gated,faithful,5,6,0.91796875,1.318322557372136,0.6744608262285648,1.0000000000000002,256.0,256.0,256.0
gated,faithful,5,7,0.89453125,1.3004726943419227,0.6458498587697141,1.0,256.0,256.0,256.0
